Manzanas;Superficie (m2);Nº viviendas;Zonificación / Tipología;Coeficiente de simultaneidad k;Electrificación (kW)
RUA-1;4.848,12;32;V. unifam. agrupada;20,8;120
RUA-2;4.242,77;27;V. unifam. agrupada;18,3;105
RUA-3;3.913,16;25;V. unifam. agrupada;17,3;99
RUA-4;3.583,54;23;V. unifam. agrupada;16,3;94
RUA-5;3.277,83;16;V. unifam. agrupada;12,8;74
RUA-6;3.062,24;16;V. unifam. agrupada;12,8;74
RUA-7;1.100,66;6;V. unifam. agrupada;7,8;45
RUA-8;3.250,00;18;V. unifam. agrupada;13,8;79
RUA-9;2.338,37;18;V. unifam. agrupada;13,8;79
RUA-10;2.338,37;18;V. unifam. agrupada;13,8;79
RUA-11;2.338,37;18;V. unifam. agrupada;13,8;79
RUA-12;2.151,53;10;V. unifam. agrupada;9,8;56
RUA-13;2.363,23;10;V. unifam. agrupada;9,8;56
RUA-14;3.168,25;22;V. unifam. agrupada;15,8;91
RUA-15;4.886,39;37;V. unifam. agrupada;23,3;134
TOTAL;46.862,83;296;;;1265
VB1-1;2.671,69;53;Viv. en bloque 1;31,3;180
VB1-2;2.800,00;57;Viv. en bloque 1;33,3;191
VB1-3;2.851,95;58;Viv. en bloque 1;33,8;194
VB2-1;10.321,44;209;Viv. en bloque 2;109,3;628
;;;;;
